Title,PhoneNumber,Address,Company Website,Email,Social medias
INNOVAGYM-COACHING AGENCE,628348030,"147, avenue Victor Hugo92100 Boulogne-Billancourt",http://innovagym-coaching.fr,,
"Informations sur ió, sport & bien-être | Danse, yoga, pilates et training à Marseille",33491023960," Cr Pierre Puget 77, 13006, Marseille ",http://jesuisio.com/,question@jesuisio.com,
Krav Maga 13,620393075,Avenue Georges Pompidou13380 Plan-De-Cuques,http://kravmaga13marseille.wix.com/km13,,
LA SALLE DE SPORT Paris Madeleine,142650078,12 Boulevard de la Madeleine75009 Paris,http://lasalledesport.paris/,,"https://www.facebook.com/lasalledesportbyGOsport,https://www.instagram.com/lasalledesport.pari"
Make It Count - Personal Trainer,638443291,107 bis Boulevard Bara13013 Marseille,http://laura-trinquet.strikingly.com/#accueil,trinquet.laura@ orange.fr,"https://www.instagram.com/laura_trinquet/,https://www.instagram.com/laura_trinquet/"
Le Dojo de Montreuil,686407547,47/49 avenue du Président Wilson93100 Montreuil,http://ledojodemontreuil.over-blog.com,,https://www.facebook.com/sharer/sharer.php?u={referer}
Les Carottes Sont Swing,688744336,46 av de Fontainebleau94270 Le-Kremlin-Bicêtre,http://lescarottessontswing.free.fr/,,"//www.facebook.com/FreeFrance/,//www.instagram.com/free.fr/?hl=fr"
WATERBIKE Les Halles,173732942,12 rue de Turbigo75001 Paris,http://leshalles.waterbike.fr,,
Fit N Furious Noisy Le Sec,982265315,32 avenue de Bobigny93130 Noisy-Le-Sec,http://lorangebleue.fr,,"https://www.facebook.com/lorangebleuefrance,https://www.instagram.com/lorangebleuemoncoachfitness/"
Magic Form Montreuil,148973434,112 boulevard de la Boissière93100 Montreuil,http://magicformmontreuil.fr/,,
Feel Sport Marseille 3 Cours Julien,428318261,40 Rue 3 Frères Barthélémy13006 Marseille,http://marseille-coursjulien.feelsport.fr/?utm_source=masalledesport&utm_medium=annuaire,,
MétaForme,145036154,66 rue Nicolo75116 Paris,http://metaforme.net/,,
Mon partenaire forme à domicile Jérémy PICOTIN,688766266,63 rue Pierre PoliIle st germain92130 Issy-Les-Moulineaux,http://monpartenaireforme.free.fr,,
Informations sur Cep Montpellier Gym,33467547021," Rue Paul Rimbaud 375, 34000, Montpellier ",http://montpelliergymcep.e-monsite.com/,,
Must Institute Marceau,147201892,29 Avenue Pierre 1er de Serbie75116 Paris,http://must-institute.fr/,,"https://www.facebook.com/mustinstitute/,https://www.instagram.com/mustinstitute/"
Naiabrina Club,663198578,1 boulevard Pierre de Coubertin92600 Asnières-sur-Seine,http://naiabrinaclub.fr/,,
Nathycor et Totam,623425988,16 cours Saint Vincent92130 Issy-Les-Moulineaux,http://nathycortotam.com,,
Le Tigre Yoga Club Neuilly,33147476060,191 AVENUE CHARLES DE GAULLE92200 NEUILLY-SUR-SEINE,http://neuilly.tigre-yoga.com/,,
La Casa Del Tango,140407360,11 allée Darius Milhaud75019 Paris,http://pagesperso-orange.fr/lacasadeltango/,,
Centre de Danse Solange Hartmann,143501374,9 rue Michel Voisin92330 Sceaux,http://pagesperso-orange.fr/solange.hartmann/,,
Espace Sportif Pailleron,140402770,32 Rue Edouard Pailleron75019 Paris,http://pailleron19.com,pailleron@vert-marine.com,
Paris Sport Club,144628300,23 rue des Balkans75020 Paris,http://paris-sport-club.org,,"https://www.facebook.com/ParisSportClub/,https://www.instagram.com/paris_sport_club/"
paulette aux sphères,608559871,31 rue nollet75017 Paris,http://pauletteauxspheres.com/,,
Peach up Convention,147057250,170 rue de la ConventionPorte de Versailles75015 Paris,http://peachupconvention.com,service@peachupconvention.com,"https://www.facebook.com/shopshoal,https://instagram.com/shopshoal"
Phenix Boxing,674134651,2 rue RonsardGymnase Ronsard75018 Paris,http://phenixboxing.wordpress.com/,,https://phenixboxing.wordpress.com/2019/09/01/saison-2016-2017-gymnase-ronsard/?share=facebook&nb=1
Phisics,142789727,18 rue Saint Antoine75004 Paris,http://phisics.fr/,frederic.v@phisics.fr,
"Informations sur PILATES , GYM A CASTELNAU-LE-LEZ ET MONTPELLIER",33660269416," Rue Albert Thomas 6, 34170, Castelnau-le-Lez ",http://pilates-gym-montpellier.com/,sabine.victoria@dbmail.com,
Platinium Hybrid Training Center,145827658,12 Rue Charcot75013 Paris,http://platiniumcenterparis.weebly.com/,,
Qee Paris,140160800,39 Rue de Châteaudun75009 Paris,http://qee.fr/,,"https://www.instagram.com/qee_yoga_pilates/,"
Qee Levallois,982391938,80 Rue Anatole France92300 Levallois-Perret,http://qee.fr/,,"https://www.instagram.com/qee_yoga_pilates/,"
Qee Boulogne,184194949,3 Rue de Vanves92100 Boulogne-Billancourt,http://qee.fr/,,"https://www.instagram.com/qee_yoga_pilates/,"
Aquabiking,143753705,38 rue du Marché94140 Alfortville,http://serge.calek.perso.sfr.fr/index.html,,https://fr-fr.facebook.com/SFR
Step Dance,145802576,7 rue Emile Dubois75014 Paris,http://step-dance.fr,,
Informations sur Hammam Les Cent Ciels Strasbourg,33390227878," Rue Finkmatt 12, 67000, Strasbourg ",http://strasbourg.hammam-lescentciels.com/,strasbourg@lescentciels.fr,
Studio Formever,666871390,49 Avenue Foch75116 Paris,http://studio-formever.com/#section10,,
Virtus Marseille - Crossfit 1856,491912565,10 place de la JolietteLes Docks13002 Marseille,http://virtusmarseille.fr/,,
WEST CLUB,141382437,4 Ter Rue Diderot92150 Suresnes,http://west-club.fr/,tech@sitewebcreation.fr,
13 en Forme,145892297,234 rue de Tolbiac75013 Paris,http://www.13enforme-gym.com/,,
Blanche,142401212,21 rue Blanche75009 Paris,http://www.21blanche.com/#welcome,contact@21blanche.com,
21 Danse,620867170,40 rue Sedaine77 rue de Charonne75011 Paris,http://www.21danse.com,21danses@gmail.com,http://www.facebook.com/thuanhdanse
50 Foch by Abdoulaye Fadiga,172671796,50 Avenue Foch75116 Paris,http://www.50foch.com,,
7 à 77 Fitness,986106442,77 avenue Aristide BriandAu-dessus de Cora Arcueil94110 Arcueil,http://www.7a77fitness.com,,
Acadanse d'Erlimont,680660011,25 bis avenue de la République92120 Montrouge,http://www.acadanse-paris.com/acadanse.htm,,
Ecole du Spectacle - Espace Lauriston,145019206,74 bis rue Lauriston75116 Paris,http://www.academiedanseparis.com, contact@espacelauriston.fr,
Académie de Hatha Yoga,491087822,8 rue des Héros13001 Marseille,http://www.academie-de-hatha-yoga-marseille.com/,contact@yogaacademiemarseille.com ,
Access Fitness Club Courbevoie,147680457,31 Boulevard Georges Clemenceau92400 Courbevoie,http://www.access-fitness-club.fr,,
Association Corps Conscience,663630644,40 rue Condorcet75009 Paris,http://www.accorps.free.fr/,,
Accrovital Charenton le Pont,143687900,157 rue de Paris94220 Charenton-Le-Pont,http://www.accrovital.com,,
Savate Club Paris 15,761727912,1 rue Lacretelle75015 Paris,http://www.adpps.fr,,https://www.facebook.com/kurtz.yonnel
Krav Maga,680149388,39 rue de Longchamps92200 Neuilly-Sur-Seine,http://Www.afkm.fr,infos@afkm.fr,
Association Francaise de Krav Maga - AFKM,781078147,5 rue Jean Pigeon94220 Charenton-Le-Pont,http://www.afkravmaga.fr/,,
Aïkido Nogent,661701910,19 bis rue Paul BertDôjô David Douillet94130 Nogent-Sur-Marne,http://www.akdn.fr,,
Association Krav Maga Défense,621588630,159 rue Armand Silvestre92400 Courbevoie,http://www.akmd.fr,contact@akmd.fr,
Alemana Danse,143281782,35 rue Jean Moulin94300 Vincennes,http://www.alemana-danse.fr/,studios.alemanadanse@gmail.com,
Académie des Maitres de Danse de France,148592124,22 rue Victor Hugo93100 Montreuil-Sous-Bois,http://www.amdf.asso.fr/,"barsi.rene@sfr.fr,francois. visele@gmail.com",
Anthony LAVIGNE,679498594,15 RUE DE MAZAGRAN75010 Paris,http://www.anthonylavigne.fr,,
Antrebloc,147265244,5 rue Henri Barbusse94800 Villejuif,http://www.antrebloc.com/,Antrebloc94@gmail.com,"https://www.instagram.com/antrebloc,https://www.facebook.com/antrebloc94"
Apollo Sporting Club 10,622351250,29 Rue Jacques Louvel-Tessier75010 Paris,http://www.apollosportingclub.com,,"https://www.instagram.com/apollo_sporting_club,https://www.facebook.com/ApolloSportingClub/"
Aqua & Bike,183964377,24 rue Monsieur le Prince75006 Paris,http://www.aqua-and-bike.com,,
Bike & Slim Richer,153340206,50 rue Richer75009 Paris,http://www.aquabiking-paris.com,,
AquaFormes,611335337,29 avenue Georges Pompidou92390 Villeneuve-La-Garenne,http://www.aquaformes.fr/,,
Aqualoft Paris 16,762441616,31/33  rue le Marois75016 Paris,http://www.aqualoft.fr,,
Informations sur Aqualoft Fitness Club PARIS 16,33144967281," Rue le Marois 33, 75016, Paris ",http://www.aqualoft-paris16.fr/,contact16@aqualoft.fr,
AquaMomento,141870662,28 Rue Pierre Bonnard92260 Fontenay-aux-Roses,http://www.aquamomento.fr,,
Aquarama Club Aquabike,182090899,22 rue Jules Valles75011 Paris,http://www.aquaramaclub.fr,,
Informations sur Aquastudio Marseille : Aquabike & Aquagym & Natation.,33491735914," Av. Frédéric Mistral 36, 13013, Marseille ",http://www.aquastudio.fr/,aquastudio13@yahoo.com,
Aquaveleau,953052267,40 rue Thiers92100 Boulogne-Billancourt,http://www.aquaveleau.com,,
Arkose Nation,149884507,35 rue des Grands Champs75020 Paris,http://www.arkose.com/,,
PUC Krav Maga,615033387,17 Avenue Pierre de CoubertinStade CHARLETTY (dojo)75013 Paris,http://www.armades.org,,
Arts et Danse,688770083,38 avenue Raymond Croland92260 Fontenay-Aux-Roses,http://www.artsetdanse.com,contact@artsetdanse.com,"https://www.instagram.com/arts_et_danse/,https://www.facebook.com/artsetdanse/"
Informations sur A.S.C.M Toulon Gymnastique - Gymnase Delaune,33494916590," Rue Paul Jolly 71, 83000, Toulon ",http://www.ascmtoulongym.fr/,,"https://www.instagram.com/ascmtoulongym/,https://www.facebook.com/ASCMToulonGym"
Ashtanga Yoga Paris,145801996,40 Avenue de la République75011 Paris,http://www.ashtangayogaparis.fr/fr_fr/,,"https://www.facebook.com/ashtangayogaparis,https://instagram.com/ashtangayogaparis/"
ASMBF Paris Boxing Club,664429620,47 rue Olivier Métra(code entrée envoyé avant le cours d'essai)75020 Paris,http://www.asmbf.fr/ASMBF_Paris_Boxing_Club/Home.html,,
Aspen Cycling La Défense,147314615,8 rue hoche92800 Puteaux,http://www.aspen-cycling.com,,
Atelier Chorégraphique Paris,140380623,19 allée Eiders75019 Paris,http://www.atelierchoregraphique.fr/,,
L'Atelier de Yoga,491331345,25 cours Honoré d'Estienne d'Orves13001 Marseille,http://www.atelierdeyoga.fr/,,"https://www.facebook.com/Atelier-de-Yoga-106573577830011/,https://www.instagram.com/explore/locations/106573577830011/atelier-de-yoga/?hl=fr"
Atelier K-Box,970940936,"125-127, rue Thiers92100 Boulogne-Billancourt",http://www.atelierkbox.com/,,
Atelier Mood Paris 2,140264419,9 rue d'Aboukir75002 Paris,http://www.ateliermood.com,contact@ateliermood.com,
Informations sur Aquagym femme enceinte Toulouse 06.63.61.08.13,33663610813," Rue Didier Daurat 43, 31140, Fonbeauzard ",http://www.avecsesformes.com/index.php/avis/2-avecsesformes,andre.debaisieux@gmail.com,
Axé Capoeira Bahia,953926714,82 rue Charles de Gaulle94130 Nogent-Sur-Marne,http://www.axecapoeirabahia.com,,
Les Bains de Léa,145614208,62 rue Pierre Charron75008 Paris,http://www.bainsdelea-paris.com/,,
Battling Club Paris 10,142012412,13 Rue de la Grange aux Belles75010 Paris,http://www.battlingclub.net/,,https://www.facebook.com/battlingclubparis/?ref=aymt_homepage_panel
Informations sur Battling Club Paris 10,33142012412," Rue de la Grange aux Belles 13, 75010, Paris ",http://www.battlingclubparis10.fr/,contact@battlingclubparis10.fr,
Informations sur Battling Club Paris 17,33145804337," Rue Jacquemont 9, 75017, Paris ",http://www.battlingclubparis17.fr/,battlingclub17@yahoo.com,
BCBG Aquabike Paris 15,145678044,6 rue de la Croix Nivert75015 Paris,http://www.bcbg-paris.com/,,
Centre de Raja Yoga,145743717,63 avenue de la Motte Piquet75015 Paris,http://www.bkwsu.org/france,contact@bcbg-paris.com,
Block'Out Paris Saint-Ouen,140109150,50 Rue Ardoin93400 Saint-Ouen,http://www.blockout.fr/bo2-paris,,https://fr-fr.facebook.com/blockoutofficiel/
Blue Fitness Eiffel,145752545,61 quai de GrenelleAu sein du Novotel75015 Paris,http://www.bluefitness-paris.com,,
Body Allure Paris,143454428,47 rue du Faubourg Saint-Antoine75011 Paris,http://www.bodyallure.fr/index.html,hello@bodyallure.fr,
Body Care Fitness Clichy,147313055,16 rue Poyer92110 Clichy,http://www.bodycare-clichy.com,,
BodyPulse Castellane,491815748,80 Rue d'Italie13006 Marseille,http://www.bodypulse.fr,contact@bodypulse.fr,
BodyPulse Pointe Rouge,972659019,94 Avenue des Goumiers13008 Marseille,http://www.bodypulse.fr,contact@bodypulse.fr,
Bodytech VIP Paris 12,143430433,56 Avenue de Saint-Mandé75012 Paris,http://www.bodytech-vip.com,bodytechvip17@gmail.com,
Body Up,143282717,93 avenue du Général de Gaulle94160 Saint-Mandé,http://www.body-up.fr,,
Informations sur Boxing Center Toulouse Minimes,33954147472," Rue de Fenouillet 12, 31200, Toulouse ",http://www.boxingcenter.fr/,boxingcenter31@gmail.com,
Informations sur Boxing club Lille Bois blancs,33664595039," Rue des Bois Blancs, 59000, Lille ",http://www.boxing-club-lille.fr/,hocinesoufi2005@yahoo.fr,
BREAK DANCE CREW,148043192,28 rue du chemin vert75011 Paris,http://www.breakdancecrew.net,,
CanalCentral,153190737,12 Rue Lucien Sampaix75010 Paris,http://www.canalcentral.fr,,"https://www.facebook.com/canalcentralparis,https://www.instagram.com/canalcentralparis/"
Caraïbes Art Danse,667176060,"12 Rue Scandicci, 93500 Pantin93500 Pantin",http://www.caraibesartdanse.com,,
Académie de danse Caribailes,954440254,32 rue du Capitaine Marchal75020 Paris,http://www.caribailes.fr/,,
CAROLINE - LES MILLS COACH - TRX,603654811,45 rue de la Jonquière75017 Paris,http://www.caroline-andry.com,,
C.A.S.A. Centre d'Activités Sportives et Artistiques,142263730,1 bis cité Paradis75010 Paris,http://www.casaparadis.paris,,
Casa Yoga - Studio du Canal,183973125,42 rue des Vinaigriers75010 Paris,http://www.casayoga-paris.fr/studio-yoga-canal-paris-10.html,hello@casayoga-paris.fr,
Informations sur Cavigal Nice Gymnastique,33953185295," Av. des Diables Bleus 43, 06300, Nice ",http://www.cavigal-gym.fr/,,"https://www.facebook.com/cavigalgymnastique/,https://instagram.com/cavigalnicegym/"
CENTRE 16,143767016,12 Rue de Grenoble94700 Maisons-Alfort,http://www.centre16.fr/,,
Centre Anima Paris 9,153209747,31 rue de Maubeuge75009 Paris,http://www.centreanima.com,ise.dambrin@centreanima.com,
Centre Aquabike Vél'eau,145772653,6 villa Saint Charles75015 Paris,http://www.centreaquabike.fr,contact@centreaquabike.fr,
WATERBIKE Maisons Alfort,171566452,36 avenue du Général de Gaulle94700 Maisons-Alfort,http://www.centre-aquabike.fr,contact@centreaquabike.fr,
Espace Danse Gambetta,143669964,64 rue Orfila75020 Paris,http://www.centredanse-kimkan.com/,,
Centre SISMO (Paris Bercy),695081309,16 rue Baron Le RoyBercy Village75012 Paris,http://www.centresismo.com,parisbercy@centresismo.com,
Cercle de la Forme Nation,153277660,228 Rue du Faubourg Saint-Antoine75012 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Raspail,143211440,226 Boulevard Raspail75014 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Saint-Lazare,148741329,94 Rue Saint-Lazare75009 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Lecourbe,147839254,78 Rue Lecourbe75015 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Batignolles,142937700,32 Boulevard des Batignolles75017 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Maillot,140550017,20 Rue Guersant75017 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Dauphine,145040403,3 boulevard Lannes75016 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Porte de Versailles,155761000,31/33 rue du Hameau75015 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Ornano,144923660,127-129 rue du Mont Cenis75018 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Diderot,143435757,164 boulevard Diderot75012 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Cercle de la Forme Bolivar,142391111,108 Avenue Simon Bolivar75019 Paris,http://www.cerclesdelaforme.com,clientcdf@lescerclesdelaforme.com,
Champion Spirit Paris,145021055,147 avenue Malakoff75116 Paris,http://www.championspirit.com,booking@championspirit.com,
Informations sur Chevreul Sport - Votre salle de sport santé à Lyon 7,33478029865," Rue Chevreul 84, 69007, Lyon ",http://www.chevreul-sport.fr/,contact@chevreul-sport.fr,
"Elanse, la section danse du Cirque Nomade",141109513,60 rue de la Belle Feuille92100 Boulogne-Billancourt,http://www.cirquenomade.com,,
13 En Forme,628046531,103 avenue du Maréchal de Lattre de Tassigny13009 Marseille,http://www.club13enforme.fr,,
Informations sur Fitness Etinox Montpellier,33467707707," Rue de la Roqueturière 448, 34090, Montpellier ",http://www.club-7.fr/,club-7@club-7.fr,
Club Azteca,142452735,36 rue de la Crimée75019 Paris,http://www.club-azteca.com,,
Club Feydeau Fitness,142362413,24 rue Feydeau75002 Paris,http://www.clubfeydeau.com,,
Club Lafayette,148245070,27 rue des petits hôtels75010 Paris,http://www.club-lafayette-paris.com/,,
Informations sur Planète Fitness - Salle de sport Nimes Séverine,33466645404," Av. Jean Jaurès 76, 30900, Nîmes ",http://www.club-planetefitness.com/,,
Informations sur Planète Fitness - Salle de sport Nimes Mas des rosiers,33466065874," Rue du Pied Ferme 143, 30900, Nîmes ",http://www.club-planetefitness.com/,,
Piscine Parisienne Pontoise,155427788,19 rue de Pontoise75005 Paris,http://www.clubquartierlatin.com/,,
CMG One Champs Elysées,143590458,26 rue de Berri75008 Paris,http://www.cmgsportsclub.com/clubs/one/champs-elysees,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Défense Coupole,140810055,56 Passage de la Coupole92400 Courbevoie,http://www.cmgsportsclub.com/clubs/one/defense-coupole,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Défense Esplanade,147449319,9 Esplanade du Général de Gaulle92800 Puteaux,http://www.cmgsportsclub.com/clubs/one/defense-esplanade,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Denfert,145425057,28 Avenue du Général Leclerc75014 Paris,http://www.cmgsportsclub.com/clubs/one/denfert,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Grenelle,145753400,8 Rue Frémicourt75015 Paris,http://www.cmgsportsclub.com/clubs/one/grenelle,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Issy,146420211,65 Rue Camille Desmoulins92130 Issy-les-Moulineaux,http://www.cmgsportsclub.com/clubs/one/issy,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Italie,145803416,14 rue VandrezanneCentre Commercial Italie 275013 Paris,http://www.cmgsportsclub.com/clubs/one/italie,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Lafayette,148745849,10 rue de la Victoire75009 Paris,http://www.cmgsportsclub.com/clubs/one/lafayette,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
CMG One Levallois,147575050,18 Avenue de l'Europe92300 Levallois-Perret,http://www.cmgsportsclub.com/clubs/one/levallois,clubserviceadherent@cmgsportsclub.com,"https://www.facebook.com/cmgsportsclub,https://www.instagram.com/cmgsportsclub/"
